Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,MCC,Cohen's Kappa,Train Time (s),Prediction Time (s)
XGBoost,0.9985069612929716,0.7558802433845794,0.7706437465150261,0.7625438951515919,,0.995359355398137,0.9953576378519124,619.8827393054962,2.7800040245056152
LightGBM,0.9982643425030794,0.7594431418279514,0.76633680404542,0.7623975937869344,,0.994600024820117,0.994599540369757,663.9796516895294,10.822997808456421
Random Forest,0.9975738121010788,0.7245269950620111,0.7548862090323855,0.7343810737257851,,0.9924681405558707,0.9924631739776829,135.2676558494568,1.802616834640503
MLP,0.9596692919263932,0.6124219918702024,0.8435328224362955,0.6681450787526154,,0.8909442680648625,0.8853691303875975,257.14840483665466,3.461981773376465
Autoencoder+MLP,0.9413422417976186,0.45004493868549006,0.7790864562236806,0.5177411032685522,,0.8493002803627524,0.8392901852235005,259.95502734184265,1.992006778717041
1D CNN,0.9172296666791087,0.39268716566330936,0.7682940091518923,0.45973203045518496,,0.7919705783698635,0.7789480897462561,401.03761744499207,5.156002521514893
